security_id,metric_id,value,missing_data_class,peer_group,stale_critical,available_at,source_id
WT-0001,GRW_REV_1Y,34.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,GRW_REV_3Y,51.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,GRW_EPS_1Y,68.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,GRW_FCF_1Y,85.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,GRW_GM_DELTA,-10.87,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,GRW_OM_DELTA,6.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,QLT_ROIC,23.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,QLT_GM,40.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,QLT_OM,57.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,QLT_FCFM,74.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,QLT_CASH_CONV,91.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,QLT_STABILITY,-4.87,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,FIN_NET_DEBT_EBITDA,12.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,FIN_INTEREST_COVER,29.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,FIN_CURRENT_RATIO,46.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,FIN_NET_CASH_ASSETS,63.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,FIN_DEBT_TREND,80.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,VAL_EV_EBITDA_FWD,52.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,VAL_PE_FWD,86.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,VAL_FCF_YIELD,-9.87,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,VAL_REL_HISTORY,7.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,MOM_RS_6M,24.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,MOM_RS_12M,41.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,MOM_TREND_200D,58.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,MOM_EPS_REV_3M,75.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,MOM_REV_REV_3M,92.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,CAP_SHARE_CHANGE,-3.87,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,CAP_SBC_REVENUE,13.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,CAP_BUYBACK_YIELD,30.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,CAP_ROIC_TREND,47.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,CAP_INSIDER,64.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,RSK_VOL_1Y,81.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,RSK_DRAWDOWN_3Y,-14.87,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,RSK_BETA_2Y,2.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,RSK_EARN_VOL,,NOT_APPLICABLE,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,RSK_DILUTION,36.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0001,RSK_EVENT_FLAG,53.13,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,GRW_REV_1Y,71.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,GRW_REV_3Y,88.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,GRW_EPS_1Y,-7.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,GRW_FCF_1Y,9.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,GRW_GM_DELTA,26.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,GRW_OM_DELTA,43.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,QLT_ROIC,60.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,QLT_GM,77.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,QLT_OM,-18.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,QLT_FCFM,-1.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,QLT_CASH_CONV,15.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,QLT_STABILITY,32.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,FIN_NET_DEBT_EBITDA,49.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,FIN_INTEREST_COVER,66.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,FIN_CURRENT_RATIO,83.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,FIN_NET_CASH_ASSETS,-12.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,FIN_DEBT_TREND,4.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,VAL_EV_EBITDA_FWD,89.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,VAL_PEG_FWD,-6.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,VAL_FCF_YIELD,27.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,VAL_REL_HISTORY,44.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,MOM_RS_6M,61.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,MOM_RS_12M,78.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,MOM_TREND_200D,-17.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,MOM_EPS_REV_3M,-0.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,MOM_REV_REV_3M,16.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,CAP_SHARE_CHANGE,33.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,CAP_SBC_REVENUE,50.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,CAP_BUYBACK_YIELD,67.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,CAP_ROIC_TREND,84.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,CAP_INSIDER,-11.74,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,RSK_VOL_1Y,5.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,RSK_DRAWDOWN_3Y,22.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,RSK_BETA_2Y,,NOT_APPLICABLE,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,RSK_EARN_VOL,56.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,RSK_DILUTION,73.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0002,RSK_EVENT_FLAG,90.26,VALID,GRW,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,GRW_REV_1Y,-4.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,GRW_REV_3Y,12.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,GRW_EPS_1Y,29.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,GRW_FCF_1Y,46.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,GRW_GM_DELTA,63.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,GRW_OM_DELTA,80.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,QLT_ROIC,-15.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,QLT_GM,1.3900000000000001,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,QLT_OM,18.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,QLT_FCFM,35.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,QLT_CASH_CONV,52.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,QLT_STABILITY,69.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,FIN_NET_DEBT_EBITDA,86.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,FIN_INTEREST_COVER,-9.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,FIN_CURRENT_RATIO,7.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,FIN_NET_CASH_ASSETS,24.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,FIN_DEBT_TREND,41.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,VAL_EV_EBITDA_FWD,13.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,VAL_PE_FWD,47.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,VAL_FCF_YIELD,64.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,VAL_REL_HISTORY,81.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,MOM_RS_6M,-14.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,MOM_RS_12M,2.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,MOM_TREND_200D,19.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,MOM_EPS_REV_3M,36.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,MOM_REV_REV_3M,53.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,CAP_SHARE_CHANGE,70.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,CAP_SBC_REVENUE,87.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,CAP_BUYBACK_YIELD,-8.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,CAP_ROIC_TREND,8.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,CAP_INSIDER,25.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,RSK_VOL_1Y,42.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,RSK_DRAWDOWN_3Y,,NOT_APPLICABLE,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,RSK_BETA_2Y,76.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,RSK_EARN_VOL,-19.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,RSK_DILUTION,-2.61,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0003,RSK_EVENT_FLAG,14.39,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,GRW_REV_1Y,32.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,GRW_REV_3Y,49.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,GRW_EPS_1Y,66.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,GRW_FCF_1Y,83.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,GRW_GM_DELTA,-12.48,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,GRW_OM_DELTA,4.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,QLT_ROIC,21.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,QLT_GM,38.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,QLT_OM,55.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,QLT_FCFM,72.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,QLT_CASH_CONV,89.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,QLT_STABILITY,-6.48,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,FIN_NET_DEBT_EBITDA,10.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,FIN_INTEREST_COVER,27.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,FIN_CURRENT_RATIO,44.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,FIN_NET_CASH_ASSETS,61.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,FIN_DEBT_TREND,78.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,VAL_EV_EBITDA_FWD,50.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,VAL_PE_FWD,84.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,VAL_FCF_YIELD,-11.48,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,VAL_REL_HISTORY,5.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,MOM_RS_6M,22.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,MOM_RS_12M,39.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,MOM_TREND_200D,56.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,MOM_EPS_REV_3M,73.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,MOM_REV_REV_3M,90.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,CAP_SHARE_CHANGE,-5.48,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,CAP_SBC_REVENUE,11.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,CAP_BUYBACK_YIELD,28.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,CAP_ROIC_TREND,45.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,CAP_INSIDER,62.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,RSK_VOL_1Y,,NOT_APPLICABLE,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,RSK_DRAWDOWN_3Y,-16.48,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,RSK_BETA_2Y,0.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,RSK_EARN_VOL,17.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,RSK_DILUTION,34.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0004,RSK_EVENT_FLAG,51.52,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,GRW_REV_1Y,69.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,GRW_REV_3Y,86.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,GRW_EPS_1Y,-9.35,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,GRW_FCF_1Y,7.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,GRW_GM_DELTA,24.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,GRW_OM_DELTA,41.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,QLT_ROIC,58.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,QLT_GM,75.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,QLT_OM,92.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,QLT_FCFM,-3.35,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,QLT_CASH_CONV,13.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,QLT_STABILITY,30.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,FIN_NET_DEBT_EBITDA,47.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,FIN_INTEREST_COVER,64.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,FIN_CURRENT_RATIO,81.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,FIN_NET_CASH_ASSETS,-14.35,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,FIN_DEBT_TREND,2.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,VAL_EV_EBITDA_FWD,87.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,VAL_PE_FWD,8.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,VAL_FCF_YIELD,25.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,VAL_REL_HISTORY,42.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,MOM_RS_6M,59.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,MOM_RS_12M,76.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,MOM_TREND_200D,-19.35,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,MOM_EPS_REV_3M,-2.35,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,MOM_REV_REV_3M,14.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,CAP_SHARE_CHANGE,31.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,CAP_SBC_REVENUE,48.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,CAP_BUYBACK_YIELD,65.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,CAP_ROIC_TREND,82.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,CAP_INSIDER,,NOT_APPLICABLE,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,RSK_VOL_1Y,3.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,RSK_DRAWDOWN_3Y,20.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,RSK_BETA_2Y,37.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,RSK_EARN_VOL,54.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,RSK_DILUTION,71.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0005,RSK_EVENT_FLAG,88.65,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,GRW_REV_1Y,-6.22,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,GRW_REV_3Y,10.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,GRW_EPS_1Y,27.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,GRW_FCF_1Y,44.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,GRW_GM_DELTA,61.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,GRW_OM_DELTA,78.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,QLT_ROIC,-17.22,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,QLT_GM,-0.21999999999999997,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,QLT_OM,16.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,QLT_FCFM,33.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,QLT_CASH_CONV,50.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,QLT_STABILITY,67.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,FIN_NET_DEBT_EBITDA,84.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,FIN_INTEREST_COVER,-11.22,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,FIN_CURRENT_RATIO,5.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,FIN_NET_CASH_ASSETS,22.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,FIN_DEBT_TREND,39.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,VAL_EV_EBITDA_FWD,11.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,VAL_PE_FWD,45.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,VAL_FCF_YIELD,62.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,VAL_REL_HISTORY,79.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,MOM_RS_6M,-16.22,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,MOM_RS_12M,0.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,MOM_TREND_200D,17.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,MOM_EPS_REV_3M,34.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,MOM_REV_REV_3M,51.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,CAP_SHARE_CHANGE,68.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,CAP_SBC_REVENUE,85.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,CAP_BUYBACK_YIELD,-10.22,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,CAP_ROIC_TREND,,NOT_APPLICABLE,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,CAP_INSIDER,23.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
WT-0006,RSK_VOL_1Y,40.78,VALID,MAT,false,2026-07-22T23:59:59Z,SRC-SYNTHETIC
