WT_ID,Ticker,Company,Exchange,Country,Universe_Group,Business_Stage,Quality_Tier,Primary_Theme,Secondary_Theme,Economic_Exposure,Pool,Universe_Status,Hard_Filter_Status,Date_Added,Last_Review,Reason_for_Inclusion
WT-0001,MSFT,Microsoft,NASDAQ,US,Platforms & Cloud,Mature,S,Cloud & AI Platform,Enterprise Software,Enterprise IT and AI capex,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,"World-class platform, recurring revenue and broad enterprise exposure."
WT-0002,AMZN,Amazon,NASDAQ,US,Platforms & Cloud,Growth,S,Cloud & Digital Commerce,AI Infrastructure,Cloud capex and consumer spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,AWS leadership plus scalable commerce and advertising businesses.
WT-0003,GOOGL,Alphabet,NASDAQ,US,Platforms & Cloud,Mature,S,Digital Platforms,Cloud & AI,Digital advertising and AI adoption,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Dominant search ecosystem with cloud and AI optionality.
WT-0004,META,Meta Platforms,NASDAQ,US,Platforms & Cloud,Mature,S,Digital Platforms,AI Software,Digital advertising and consumer engagement,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-margin platform with AI-driven monetization and global scale.
WT-0005,AAPL,Apple,NASDAQ,US,Platforms & Cloud,Mature,S,Consumer Technology Platform,Services,Premium consumer spending and device cycles,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,"Exceptional ecosystem, balance sheet and services monetization."
WT-0006,ORCL,Oracle,NYSE,US,Platforms & Cloud,Mature,A,Cloud Infrastructure,Enterprise Software,Enterprise IT and database workloads,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Mission-critical database franchise and expanding cloud infrastructure.
WT-0007,CRM,Salesforce,NYSE,US,Platforms & Cloud,Mature,A,Enterprise Software,AI Applications,Enterprise software budgets,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Leading customer platform with recurring revenue and margin expansion.
WT-0008,NOW,ServiceNow,NYSE,US,Platforms & Cloud,Growth,A,Workflow Automation,AI Applications,Enterprise digitization,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Strong recurring growth and deeply embedded workflow platform.
WT-0009,IBM,IBM,NYSE,US,Platforms & Cloud,Mature,A,Hybrid Cloud,Enterprise AI,Enterprise modernization,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversifies mega-cap technology exposure through hybrid cloud and consulting.
WT-0010,NVDA,NVIDIA,NASDAQ,US,Semiconductors & Equipment,Growth,S,AI Accelerators,Data Center,AI infrastructure capex,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Category leader in accelerated computing and AI infrastructure.
WT-0011,AVGO,Broadcom,NASDAQ,US,Semiconductors & Equipment,Growth,S,Semiconductors,Infrastructure Software,AI networking and enterprise infrastructure,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality diversified semiconductor and infrastructure software exposure.
WT-0012,AMD,Advanced Micro Devices,NASDAQ,US,Semiconductors & Equipment,Growth,A,Compute Semiconductors,AI Accelerators,"PC, server and AI compute cycles",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,"Credible challenger across CPU, GPU and data-center markets."
WT-0013,TSM,Taiwan Semiconductor Manufacturing,NYSE ADR,Taiwan,Semiconductors & Equipment,Mature,S,Semiconductor Foundry,Advanced Nodes,Global semiconductor demand and geopolitics,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Critical advanced-node manufacturing franchise.
WT-0014,ASML,ASML Holding,NASDAQ ADR,Netherlands,Semiconductors & Equipment,Growth,S,Semiconductor Equipment,EUV Lithography,Leading-edge fab investment,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Near-monopoly provider of advanced lithography systems.
WT-0015,MU,Micron Technology,NASDAQ,US,Semiconductors & Equipment,Growth,A,Memory Semiconductors,AI Memory,Memory pricing and data-center demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Direct exposure to HBM and cyclical memory recovery.
WT-0016,QCOM,Qualcomm,NASDAQ,US,Semiconductors & Equipment,Mature,A,Wireless Semiconductors,Edge AI,Smartphone and connected-device cycles,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Strong IP franchise and diversification into automotive and edge AI.
WT-0017,AMAT,Applied Materials,NASDAQ,US,Semiconductors & Equipment,Mature,A,Semiconductor Equipment,Advanced Packaging,Wafer-fab equipment spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Broad equipment exposure across semiconductor manufacturing steps.
WT-0018,LRCX,Lam Research,NASDAQ,US,Semiconductors & Equipment,Growth,A,Semiconductor Equipment,Memory Equipment,Wafer-fab and memory capex,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Leadership in etch and deposition with strong AI-memory exposure.
WT-0019,KLAC,KLA,NASDAQ,US,Semiconductors & Equipment,Growth,A,Process Control,Semiconductor Equipment,Yield-management spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-moat process-control franchise with attractive economics.
WT-0020,ARM,Arm Holdings,NASDAQ ADR,UK,Semiconductors & Equipment,Growth,A,Chip Architecture,Edge Computing,Device and data-center compute,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Royalty model with broad architecture reach and AI optionality.
WT-0021,MRVL,Marvell Technology,NASDAQ,US,Semiconductors & Equipment,Growth,B,Data Infrastructure Chips,Custom Silicon,AI networking and custom compute,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,"Focused exposure to optical, networking and custom AI silicon."
WT-0022,ADI,Analog Devices,NASDAQ,US,Semiconductors & Equipment,Mature,A,Analog Semiconductors,Industrial Electronics,Industrial and automotive cycles,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality analog franchise that diversifies digital-compute exposure.
WT-0023,TXN,Texas Instruments,NASDAQ,US,Semiconductors & Equipment,Mature,A,Analog Semiconductors,Embedded Processing,Industrial and automotive cycles,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Durable analog franchise with long product lives and manufacturing scale.
WT-0024,PANW,Palo Alto Networks,NASDAQ,US,Software & Cybersecurity,Growth,A,Cybersecurity Platform,Cloud Security,Enterprise security spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Broad security platform with consolidation potential.
WT-0025,CRWD,CrowdStrike,NASDAQ,US,Software & Cybersecurity,Growth,A,Endpoint Security,Cloud Security,Cybersecurity budgets,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Cloud-native leader with strong recurring growth.
WT-0026,FTNT,Fortinet,NASDAQ,US,Software & Cybersecurity,Growth,A,Network Security,Secure Networking,Enterprise and telecom security spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Profitable security leader with hardware-software integration.
WT-0027,PLTR,Palantir Technologies,NASDAQ,US,Software & Cybersecurity,Growth,A,AI Software,Data Platforms,Government and enterprise AI adoption,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Differentiated operating platform with expanding commercial adoption.
WT-0028,SNOW,Snowflake,NYSE,US,Software & Cybersecurity,Growth,B,Cloud Data Platform,AI Data,Cloud data consumption,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Strategic data layer with large addressable market.
WT-0029,DDOG,Datadog,NASDAQ,US,Software & Cybersecurity,Growth,A,Cloud Observability,Developer Tools,Cloud workload growth,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Best-in-class observability platform with efficient growth.
WT-0030,NET,Cloudflare,NYSE,US,Software & Cybersecurity,Growth,B,Edge Cloud,Cybersecurity,Internet traffic and developer workloads,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Global edge network with security and compute optionality.
WT-0031,ZS,Zscaler,NASDAQ,US,Software & Cybersecurity,Growth,A,Zero Trust Security,Cloud Security,Enterprise security transformation,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Leader in zero-trust architecture and cloud-delivered security.
WT-0032,RBRK,Rubrik,NYSE,US,Software & Cybersecurity,Emerging,C,Data Security,Cyber Resilience,Enterprise security and ransomware protection,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Newly public security specialist with strong category growth.
WT-0033,S,SentinelOne,NYSE,US,Software & Cybersecurity,Emerging,C,Endpoint Security,AI Security,Cybersecurity budgets,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Higher-risk challenger with improving scale and operating leverage.
WT-0034,LLY,Eli Lilly,NYSE,US,Healthcare & Life Sciences,Growth,S,Innovative Pharmaceuticals,Metabolic Health,Drug adoption and healthcare spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Exceptional growth pipeline led by metabolic and obesity treatments.
WT-0035,UNH,UnitedHealth Group,NYSE,US,Healthcare & Life Sciences,Mature,S,Managed Care,Healthcare Services,US healthcare utilization and regulation,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Scaled insurer and healthcare-services platform.
WT-0036,ABBV,AbbVie,NYSE,US,Healthcare & Life Sciences,Mature,A,Biopharma,Immunology,Drug lifecycle and healthcare spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Strong cash generation with diversified post-Humira portfolio.
WT-0037,ISRG,Intuitive Surgical,NASDAQ,US,Healthcare & Life Sciences,Growth,S,Robotic Surgery,Medical Devices,Procedure volumes and hospital capex,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-moat installed base with recurring instruments revenue.
WT-0038,TMO,Thermo Fisher Scientific,NYSE,US,Healthcare & Life Sciences,Mature,S,Life Science Tools,Diagnostics,Biopharma research spending,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversified picks-and-shovels leader for life sciences.
WT-0039,DHR,Danaher,NYSE,US,Healthcare & Life Sciences,Mature,S,Life Science Tools,Diagnostics,Bioprocessing and research activity,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality operating system and recurring life-science exposure.
WT-0040,VRTX,Vertex Pharmaceuticals,NASDAQ,US,Healthcare & Life Sciences,Growth,A,Biopharma,Genetic Diseases,Drug pipeline execution,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Dominant cystic-fibrosis franchise and expanding pipeline.
WT-0041,REGN,Regeneron Pharmaceuticals,NASDAQ,US,Healthcare & Life Sciences,Growth,A,Biopharma,Immunology & Oncology,Drug pipeline execution,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Strong research engine and profitable biologics portfolio.
WT-0042,HIMS,Hims & Hers Health,NYSE,US,Healthcare & Life Sciences,Emerging,C,Digital Health,Consumer Healthcare,Online healthcare adoption,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Fast-growing consumer health platform with execution and regulatory risk.
WT-0043,RXRX,Recursion Pharmaceuticals,NASDAQ,US,Healthcare & Life Sciences,Emerging,C,AI Drug Discovery,Biotechnology,Biotech funding and pipeline milestones,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-risk AI-native drug discovery platform with asymmetric optionality.
WT-0044,JPM,JPMorgan Chase,NYSE,US,Financials & Digital Payments,Mature,S,Diversified Banking,Payments,"Rates, credit and economic activity",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Best-in-class diversified bank with scale and balance-sheet strength.
WT-0045,GS,Goldman Sachs,NYSE,US,Financials & Digital Payments,Mature,A,Capital Markets,Asset Management,Capital-market activity,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,"Premium franchise in advisory, trading and asset management."
WT-0046,BRK.B,Berkshire Hathaway Class B,NYSE,US,Financials & Digital Payments,Mature,S,Diversified Financials,Insurance,Insurance pricing and US economic activity,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversified compounding vehicle with strong capital allocation.
WT-0047,V,Visa,NYSE,US,Financials & Digital Payments,Mature,S,Digital Payments,Payment Networks,Consumer spending and cashless adoption,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-moat global payment network with excellent economics.
WT-0048,MA,Mastercard,NYSE,US,Financials & Digital Payments,Mature,S,Digital Payments,Payment Networks,Consumer spending and cross-border travel,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality global network benefiting from cashless payments.
WT-0049,SPGI,S&P Global,NYSE,US,Financials & Digital Payments,Mature,S,Financial Data,Credit Ratings,Debt issuance and financial information demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Mission-critical ratings and data franchise.
WT-0050,HOOD,Robinhood Markets,NASDAQ,US,Financials & Digital Payments,Emerging,C,Digital Brokerage,Crypto Platforms,Retail trading activity and crypto cycles,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Fast-growing platform with high cyclicality and regulatory risk.
WT-0051,SOFI,SoFi Technologies,NASDAQ,US,Financials & Digital Payments,Emerging,C,Digital Banking,Fintech Infrastructure,Consumer credit and digital-finance adoption,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Integrated fintech model with improving scale but credit sensitivity.
WT-0052,ETN,Eaton,NYSE,Ireland,Industrials & Automation,Growth,S,Electrification,Power Management,"Grid, data-center and industrial capex",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-quality electrification leader with structural demand tailwinds.
WT-0053,PH,Parker-Hannifin,NYSE,US,Industrials & Automation,Mature,S,Motion & Control,Aerospace Systems,Industrial production and aerospace cycles,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversified high-return industrial compounder.
WT-0054,ROK,Rockwell Automation,NYSE,US,Industrials & Automation,Mature,A,Industrial Automation,Robotics,Manufacturing capex,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Pure-play factory automation and digitization exposure.
WT-0055,HON,Honeywell,NASDAQ,US,Industrials & Automation,Mature,A,Industrial Technology,Aerospace,Industrial and aerospace demand,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversified industrial technology and installed-base exposure.
WT-0056,CAT,Caterpillar,NYSE,US,Industrials & Automation,Mature,A,Heavy Machinery,Mining Equipment,"Construction, mining and commodity cycles",Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Global machinery leader with strong dealer network.
WT-0057,DE,Deere & Company,NYSE,US,Industrials & Automation,Mature,A,Agricultural Technology,Automation,Farm income and equipment replacement,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Precision-agriculture leader with technology-driven productivity gains.
WT-0058,PWR,Quanta Services,NYSE,US,Industrials & Automation,Growth,A,Grid Infrastructure,Energy Construction,Grid modernization and utility capex,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Key contractor for power-grid and energy infrastructure buildout.
WT-0059,SYM,Symbotic,NASDAQ,US,Industrials & Automation,Emerging,C,Warehouse Automation,Robotics,Retail logistics capex,Emerging,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-growth automation platform with customer-concentration risk.
WT-0060,GE,GE Aerospace,NYSE,US,"Aerospace, Defense & Space",Growth,S,Commercial Aerospace,Aircraft Engines,Global flight hours and aircraft production,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Premier engine franchise with recurring services revenue.
WT-0061,RTX,RTX,NYSE,US,"Aerospace, Defense & Space",Mature,S,Aerospace & Defense,Aircraft Systems,Defense budgets and aerospace production,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Diversified aerospace and defense installed base.
WT-0062,LMT,Lockheed Martin,NYSE,US,"Aerospace, Defense & Space",Mature,A,Defense Systems,Missiles & Aircraft,US and allied defense budgets,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,Leading defense prime with long-duration programs.
WT-0063,NOC,Northrop Grumman,NYSE,US,"Aerospace, Defense & Space",Mature,A,Defense Systems,Space Systems,Strategic defense and space budgets,Core,Active-Provisional,Recheck at each 6M review,2026-07-23,2026-07-23,High-value exposure to strategic systems and space.
